run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id
1,True,20.88,33.5143604010001,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,34.1541066210001,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.4268238349999,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.5244,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.550763212,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.464071551,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.545464487,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.679333091,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.482630181,261,0.245195665640764,-8,-9.5,none,
1,True,20.88,33.4075518339999,261,0.245195665640764,-8,-9.5,none,
2,True,14,18.8982050950001,175,0.230621453550512,-5.5,8,none,
2,True,14,18.936591707,175,0.230621453550512,-5.5,8,none,
2,True,14,18.916729104,175,0.230621453550512,-5.5,8,none,
2,True,14,18.9185831059999,175,0.230621453550512,-5.5,8,none,
2,True,14,18.879036477,175,0.230621453550512,-5.5,8,none,
2,True,14,18.8804377929999,175,0.230621453550512,-5.5,8,none,
2,True,14,18.8750555630002,175,0.230621453550512,-5.5,8,none,
2,True,14,19.024193124,175,0.230621453550512,-5.5,8,none,
2,True,14,19.0524375320001,175,0.230621453550512,-5.5,8,none,
2,True,14,19.0897839700001,175,0.230621453550512,-5.5,8,none,
3,True,9.36,12.3142174330001,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.2276896409999,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.218604422,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.2360180969999,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.2709687500001,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.250053406,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.1981601370001,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.241217304,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.1586237429999,117,0.241666727584976,9.6,3,none,
3,True,9.36,12.3434089960001,117,0.241666727584976,9.6,3,none,
4,True,18.56,27.3333018630001,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.5811430440001,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.347058733,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.5229384259999,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.5771296610001,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.482056781,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.522237504,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.4590389109999,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.6335738170001,232,0.236205086351755,-6.25,-8,none,
4,True,18.56,27.6500278420001,232,0.236205086351755,-6.25,-8,none,
5,True,15.12,19.9755403199999,189,0.219142718616356,2.5,-8,none,
