run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id
10,True,12.32,16.3411688679998,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.362120319,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.3665324669996,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.4575578700001,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.472234245,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.3316380789997,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.3680129260001,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.4062384589997,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.3643772569999,154,0.241638430705236,2,-3.4,none,
10,True,12.32,16.3633823160003,154,0.241638430705236,2,-3.4,none,
,100.00%,,,,,,,,
