run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason,,run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason
5,True,18.64,23.0190855880001,233,0.236793770590964,2.5,-8,none,,,,,,,,,,,,,,
5,True,15.2,17.7302930220003,190,0.242497940978868,2.5,-8,none,,,,,,,,,,,,,,
6,False,11.12,13.3441074150005,139,2.69949285651499,-4,0,static,24,,,,,,,,,,,,,
6,False,11.68,14.0977712889999,146,3.47703505949855,-4,0,static,24,,,,,,,,,,,,,
6,False,11.52,13.960396683,144,3.46955848854402,-4,0,static,24,,,,,,,,,,,,,
6,False,11.12,13.194563258,139,2.72966638554073,-4,0,moving,26,,,,,,,,,,,,,
6,False,11.12,13.3764165929997,139,2.7036368229094,-4,0,moving,26,,,,,,,,,,,,,
6,False,11.04,15.2878142170002,138,2.69404703675434,-4,0,moving,26,,,,,,,,,,,,,
6,False,11.12,12.9773008379998,139,2.71101920324196,-4,0,moving,26,,,,,,,,,,,,,
6,False,11.12,13.868581967,139,2.69074184617317,-4,0,static,24,,,,,,,,,,,,,
6,False,11.04,14.8158819979999,138,2.71341193586622,-4,0,moving,26,,,,,,,,,,,,,
6,True,18.32,22.1740483069998,229,0.244348587534566,-4,0,none,,,,,,,,,,,,,,
7,True,17.12,32.9935200509999,214,0.227443486762606,0,9.8,none,,,,,,,,,,,,,,
7,True,12.56,15.798374258,157,0.239655829435573,0,9.8,none,,,,,,,,,,,,,,
7,True,12,15.1754872350002,150,0.234789482127761,0,9.8,none,,,,,,,,,,,,,,
7,True,16.96,24.9261192029999,212,0.23492630338075,0,9.8,none,,,,,,,,,,,,,,
7,False,80,96.9356073320005,1000,0.314481540621571,0,9.8,none,,,,,,,,,,,,,,
7,True,13.68,24.8030088759997,171,0.248449481457316,0,9.8,none,,,,,,,,,,,,,,
7,True,12.56,16.5897451930005,157,0.224025654762558,0,9.8,none,,,,,,,,,,,,,,
7,True,12.56,18.6635607999997,157,0.246696152189632,0,9.8,none,,,,,,,,,,,,,,
7,True,16.72,25.3558370580004,209,0.232202575771457,0,9.8,none,,,,,,,,,,,,,,
7,False,18.96,34.8263241550003,237,0.272728095121203,0,9.8,moving,27,,,,,,,,,,,,,
8,True,17.6,24.2602501749998,220,0.245817369676683,4,-9.5,none,,,,,,,,,,,,,,
8,False,11.12,16.4572393629996,139,13.6763803296416,4,-9.5,moving,26,,,,,,,,,,,,,
8,True,18.32,23.1085474759993,229,0.248682376904334,4,-9.5,none,,,,,,,,,,,,,,
8,True,21.84,29.7364475389995,273,0.242340991170368,4,-9.5,none,,,,,,,,,,,,,,
8,True,18.08,24.6702524140001,226,0.246078181771813,4,-9.5,none,,,,,,,,,,,,,,
