run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y
8,True,18.48,26.1997340099988,231,0.248319462417738,4,-9.5
9,True,15.68,22.448705838,196,0.240124624281302,-4.4,-5
10,False,80,124.595830789,1000,0.507305981478657,9.5,-8
1,True,21.12,33.791241365001,264,0.242486991519878,-8,-9.5
2,True,14.56,19.6197486929996,182,0.23095329978737,-5.5,8
3,True,9.44,12.4593955920027,118,0.239612630026911,9.6,3
4,True,18.64,27.7515633719995,233,0.239621625927484,-6.25,-8
5,True,15.12,20.0113769170021,189,0.231637340021764,2.5,-8
6,False,10.48,16.6919149319983,131,3.18693516285328,-4,0
7,False,5.92,9.26871528500124,74,3.812453410435,0,9.8
8,True,18.48,26.3927652920029,231,0.248319462417738,4,-9.5
9,True,15.68,22.6048176340009,196,0.240124624281302,-4.4,-5
10,False,80,125.225481762998,1000,0.507305981478657,9.5,-8
1,True,21.12,33.7578646649999,264,0.242486991519878,-8,-9.5
2,True,14.56,19.7010919989989,182,0.23095329978737,-5.5,8
3,True,9.44,12.3768970210003,118,0.239612630026911,9.6,3
4,True,18.64,27.9360479569987,233,0.239621625927484,-6.25,-8
5,True,15.12,20.1736302040008,189,0.231637340021764,2.5,-8
6,False,10.48,16.6425614729997,131,3.18693516285328,-4,0
7,False,5.92,9.10662167699775,74,3.812453410435,0,9.8
8,True,18.48,26.7630843110019,231,0.248319462417738,4,-9.5
9,True,15.68,22.6382535900011,196,0.240124624281302,-4.4,-5
10,False,80,124.488699549001,1000,0.507305981478657,9.5,-8
1,True,21.12,33.6294181590019,264,0.242486991519878,-8,-9.5
2,True,14.56,19.5389767449997,182,0.23095329978737,-5.5,8
3,True,9.44,12.4862982740015,118,0.239612630026911,9.6,3
4,True,18.64,27.7803161539996,233,0.239621625927484,-6.25,-8
5,True,15.12,19.9309347259987,189,0.231637340021764,2.5,-8
6,False,10.48,16.7510814380003,131,3.18693516285328,-4,0
7,False,5.92,9.37419382399821,74,3.812453410435,0,9.8
