run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason
1,True,17.12,32.993520050999905,214,0.22744348676260573,0.0,9.8,none,,
1,True,12.56,15.798374257999967,157,0.23965582943557304,0.0,9.8,none,,
1,True,12.0,15.175487235000219,150,0.23478948212776068,0.0,9.8,none,,
1,True,16.96,24.92611920299987,212,0.2349263033807501,0.0,9.8,none,,
1,False,80.0,96.93560733200047,1000,0.3144815406215707,0.0,9.8,none,,
1,True,13.68,24.803008875999694,171,0.2484494814573156,0.0,9.8,none,,
1,True,12.56,16.589745193000454,157,0.2240256547625578,0.0,9.8,none,,
1,True,12.56,18.663560799999686,157,0.24669615218963228,0.0,9.8,none,,
1,True,16.72,25.35583705800036,209,0.2322025757714568,0.0,9.8,none,,
1,False,18.96,34.82632415500029,237,0.27272809512120333,0.0,9.8,moving,27.0,
