run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason
8,True,18.64,22.01806674,233,0.244259808333269,4,-9.5,none,,
8,True,17.84,21.1917929989995,223,0.238725548584459,4,-9.5,none,,
8,True,18.48,21.8224080780001,231,0.242720497260867,4,-9.5,none,,
8,False,80,93.066353018,1000,0.30023585782977,4,-9.5,none,,
8,True,18.08,21.341289774,226,0.24839513482185,4,-9.5,none,,
9,True,16.24,19.1623756090003,203,0.22934937026331,-4.4,-5,none,,
9,False,11.12,13.6326933159999,139,7.57843359721318,-4.4,-5,moving,26,
9,True,22.88,26.8993076919996,286,0.23632062825235,-4.4,-5,none,,
9,True,15.68,18.7114189869999,196,0.236806700225505,-4.4,-5,none,,
9,True,15.84,18.824306429,198,0.233455602578785,-4.4,-5,none,,
9,True,15.68,18.6139421129992,196,0.22974143623937,-4.4,-5,none,,
9,False,11.04,13.4634161800004,138,7.59668408921152,-4.4,-5,moving,26,
9,True,15.68,18.5098393090002,196,0.247068412387981,-4.4,-5,none,,
9,True,15.68,18.6085087399997,196,0.246539724624957,-4.4,-5,none,,
9,True,15.76,18.716251066,197,0.231338799856926,-4.4,-5,none,,
10,True,12.48,15.2561533609996,156,0.245689351055188,2,-3.4,none,,
10,True,12.72,15.3600065600003,159,0.244060440852003,2,-3.4,none,,
10,True,12.32,14.8654999409991,154,0.234820626725002,2,-3.4,none,,
10,True,12.4,15.0018993109998,155,0.236274774437235,2,-3.4,none,,
10,True,13.2,15.9983170739997,165,0.230031402885787,2,-3.4,none,,
10,True,12.24,14.7872131610002,153,0.248764788580732,2,-3.4,none,,
10,True,12.64,15.2407072589995,158,0.242686255198781,2,-3.4,none,,
10,True,13.12,15.6856519969997,164,0.237040934482791,2,-3.4,none,,
10,True,12.56,15.123810176,157,0.243830501939739,2,-3.4,none,,
10,True,12.24,15.0474401609999,153,0.244265058241639,2,-3.4,none,,
,79.00%,,,,,,,,,
